Title,Category,Score
Nigeria: Cross River Governor Ayade Dumps PDP for APC,politics,0.2686065435409546
"Electoral Bill: Nigeria Senate Mobilises to Override President's Veto, House Defers Battle Till January",politics,0.7872427105903625
Nigeria: Central Bank Increases Forex Allocation to Banks,business,0.5795316100120544
"Nigeria to Set Up Fund to Cover 83m Poor Citizens, as Buhari Signs National Health Authority Bill into Law",health,0.41120603680610657
World Bank Revises Sub-Saharan Africa's Growth Forecast to 3.4%,business,0.26867538690567017
Putin Signs Law Paving Way to Rule Until 2036,politics,0.6832113862037659
"Lagos Suspends  NURTW From Parks, Takes Over Transport Union's Operations",business,0.2297135591506958
"Power Devolution, State Police Demands Dominate Nigeria's Constitution Review Hearings",politics,0.5407857298851013
"Former Champions Ghana, South Africa Set For AFCON Qualifiers Showdown in Johannesburg Thursday",sports,0.6816408634185791
New Petroleum Act: Nigeria Says No Immediate Removal of Petrol Subsidy,business,0.2788286507129669
Tesla Loses Third of Its Value for the Third Time in A Year,business,0.22127829492092133
"Nigeria, Others Losing $95bn in Productivity Due to Unsafe Food Intake",health,0.30319419503211975
"Merck Covid Pill's Success Slams Moderna Shares, Shakes up Healthcare Sector",tech,0.338299959897995
"Euro 2020: France, Portugal Advance as Ronaldo Ties International Goals Record in Draw",sports,0.8490967154502869
Abraham Scores Twice as Chelsea Thrash West Ham  3-0,sports,0.3605864644050598
"Nigeria: Against Mood of the Nation, PDP Retains Chairmanship in South",politics,0.5875783562660217
Two Nigerian NBA Basketballers to Headline First Virtual 'Power Forward Huddle' Initiative,sports,0.7327057719230652
Oil Prices Near $80 as Omicron Concerns Ease,business,0.5361488461494446
"Nigeria Introduces 6% Tax on Digital Services, Non-Resident Companies",tech,0.721016526222229
"FIRS Can Collect VAT from Lagos Hotel Owners, Appeal Court Rules",business,0.26239174604415894
NAFDAC Targets 70% Reduction of Nigeria's Pharmaceutical Imports by 2025,tech,0.3028916120529175
US Open Final: Medvedev Ends Djokovic's Calender Grand Slam Bid,sports,0.4641886353492737
Disney Focuses More on Streaming Amid Cinema Closures,entertainment,0.9494186043739319
"Bad Leadership Has Turned Nigeria to Land of Bitterness and Sadness, Obasanjo Laments",politics,0.4405817687511444
Nigeria: Capital Importation Falls 54% in Q2 2021,business,0.37292757630348206
Tokyo 2020: Nigeria Sports Minister Takes Responsibility for Athletes' Anti-doping Violations,sports,0.9963871240615845
Nigerian Forward Iheanacho Named Premier League Player of the Month for March,sports,0.3877176344394684
"APC Primary: With You, Everything will Work, Gombe Governor Tells Amaechi, as Buratai Woos Borno Governor, Delegates for Ex-Minister",politics,0.36868640780448914
Rashford 'Won't Apologise' For Who He Is after Receiving Racist Abuse,politics,0.29859405755996704
Brazil Legend Pele Leaves Hospital after Surgery,health,0.38139525055885315
Trump Rejects Democrats Request to Testify at Impeachment Trial,politics,0.3294396698474884
Uefa Begins Disciplinary Proceedings Against English FA Over Euros Final Chaos at Wembley,sports,0.48957937955856323
Buzzfeed Acquires HuffPost from Verizon Wireless,tech,0.4037351906299591
Fireboy DML Announces 'The Fire Concert' for January 2022,entertainment,0.5838996171951294
Nike Says It Split with Neymar Over Sexual Assault Investigation,politics,0.46054232120513916
"117,000 Jobs Lost in Nigeria's Textile Industry in 26 Years, Says Textile Association",tech,0.31481048464775085
"US Police Warn of Plot to Breach Capitol, House Scraps Thursday Session",politics,0.42186763882637024
Covid-19: Chinese City Plans Nine Million Tests in Five Days,tech,0.4370921850204468
Scarlett Johansson Sues Disney Over 'Black Widow' Streaming Release,entertainment,0.46181362867355347
"AfCFTA to Push Nigeria, Other African Economies to $29tn By 2050",politics,0.2667233347892761
"Nigerian Airlines Blame Dollar Scarcity, Pandemic for Rising Fares",business,0.5051419734954834
"Nigeria's GDP Grows 5.01% in Q2 2021, Highest In Six Years",business,0.3494168817996979
Man City Fightback Against Aston Villa to Win Fourth Premier League Title in Five Years,politics,0.29550760984420776
Late Willock Equaliser Dents Tottenham Top Four Hopes at Newcastle,tech,0.24150235950946808
"Atiku's Running Mate: Wike, Ekweremadu, Bruce Join Race as Stakeholders Consider Okowa, Okonjo-Iweala, Udom, Anyim",tech,0.28550535440444946
"American Mackenzie McDonald, ranked 211th, is Nadal's next opponent",politics,0.20696473121643066
"Mali's Former Coup Leader Takes Power after President's Arrest, Says He Wasn't Consulted on Formation of New Government",politics,0.3770343065261841
Nigeria's 'Eyimofe' to Screen at 50th anniversary of ND/NF Festival in New York,tech,0.5915288329124451
Iran's Sole Moderate Presidential Candidate Congratulates Hardliner Raisi for His Victory,politics,0.6141015291213989
Buhari Says APC VP Candidate Shettima Will Live up to Expectations,tech,0.37606871128082275
Nigeria: Obasanjo Denies Endorsing South-East for Presidency,politics,0.25158363580703735
Credit Suisse Chairman Quits Over Covid Breaches in Latest Setback,tech,0.3102189898490906
"Will Smith Apologizes to Chris Rock for Slap, Academy Weighs Action",sports,0.3173900544643402
"Mourinho 'Casts Players Aside Like They Don't Exist', Pogba Says in Damning Verdict on Former Boss",entertainment,0.20150214433670044
IMF: Nigeria Remains Largest Economy in Africa,business,0.32233890891075134
Tokyo 2020: Ten Nigerian Athletes Disqualified After Failing to Meet Testing Requirements,sports,0.9041138291358948
Nigeria: Northern Group Asks Buhari to Endorse Osinbajo As Successor,politics,0.22137480974197388
Nigeria Qualify For U17 Afcon After 1-0 Victory Over Burkina Faso,sports,0.40558046102523804
